new building address (('5652', 'Perrin Street') https://osm.org/?mlat=29.664286550281105&mlon=-90.10726099716118&zoom=16) does not match the old one ((None, 'Perrin Street'))
new building address (('5675', 'Perrin Street') https://osm.org/?mlat=29.663689966290583&mlon=-90.10664386418627&zoom=16) does not match the old one ((None, 'Perrin Street'))
new building address (('5703', 'Perrin Street') https://osm.org/?mlat=29.662729210915355&mlon=-90.10676113999736&zoom=16) does not match the old one ((None, 'Perrin Street'))
new building address (('5103', 'Orange Avenue') https://osm.org/?mlat=29.66215543087212&mlon=-90.10697520683598&zoom=16) does not match the old one ((None, 'Orange Avenue'))
new building address (('5111', 'Orange Avenue') https://osm.org/?mlat=29.662140755023437&mlon=-90.10726395577716&zoom=16) does not match the old one ((None, 'Orange Avenue'))
new building address (('5123', 'Orange Avenue') https://osm.org/?mlat=29.66213257457194&mlon=-90.10758764558416&zoom=16) does not match the old one ((None, 'Orange Avenue'))
new building address (('5742', 'Lisa Street') https://osm.org/?mlat=29.661791529687964&mlon=-90.10856242388263&zoom=16) does not match the old one ((None, 'Lisa Street'))
new building address (('5759', 'Lisa Street') https://osm.org/?mlat=29.661334608244214&mlon=-90.10811986943055&zoom=16) does not match the old one ((None, 'Lisa Street'))
new building address (('5756', 'Lisa Street') https://osm.org/?mlat=29.661396898552763&mlon=-90.10854918554412&zoom=16) does not match the old one ((None, 'Lisa Street'))
new building address (('5772', 'Lisa Street') https://osm.org/?mlat=29.661020381285596&mlon=-90.10859145720671&zoom=16) does not match the old one ((None, 'Lisa Street'))
new building address (('5773', 'Lisa Street') https://osm.org/?mlat=29.660943859935436&mlon=-90.10813112938794&zoom=16) does not match the old one ((None, 'Lisa Street'))
new building address (('5657', 'Jean Lafitte Boulevard') https://osm.org/?mlat=29.664165619799824&mlon=-90.10887737366652&zoom=16) does not match the old one ((None, 'Jean Lafitte Boulevard'))
new building address (('5679', 'Jean Lafitte Boulevard') https://osm.org/?mlat=29.663617836941764&mlon=-90.10887230423202&zoom=16) does not match the old one ((None, 'Jean Lafitte Boulevard'))
new building address (('5691', 'Jean Lafitte Boulevard') https://osm.org/?mlat=29.663259960823837&mlon=-90.10899286978695&zoom=16) does not match the old one ((None, 'Jean Lafitte Boulevard'))
new building address (('5688', 'Jean Lafitte Boulevard') https://osm.org/?mlat=29.663336286928107&mlon=-90.10976855151665&zoom=16) does not match the old one ((None, 'Jean Lafitte Boulevard'))
new building address (('5688', 'Jean Lafitte Boulevard') https://osm.org/?mlat=29.663339549427&mlon=-90.10962972749336&zoom=16) does not match the old one ((None, 'Jean Lafitte Boulevard'))
new building address (('5745', 'Jean Lafitte Boulevard') https://osm.org/?mlat=29.661807862291464&mlon=-90.10895971999875&zoom=16) does not match the old one ((None, 'Jean Lafitte Boulevard'))
new building address (('5753', 'Jean Lafitte Boulevard') https://osm.org/?mlat=29.661320837392076&mlon=-90.10891951992154&zoom=16) does not match the old one ((None, 'Jean Lafitte Boulevard'))
new building address (('5769', 'Jean Lafitte Boulevard') https://osm.org/?mlat=29.661097492783977&mlon=-90.10893227610042&zoom=16) does not match the old one ((None, 'Jean Lafitte Boulevard'))
new building address (('5782', 'Lisa Street') https://osm.org/?mlat=29.660711874886346&mlon=-90.10853227414839&zoom=16) does not match the old one ((None, 'Lisa Street'))
new building address (('5089', 'Kenal Road') https://osm.org/?mlat=29.660267007511845&mlon=-90.10824239172666&zoom=16) does not match the old one ((None, 'Kenal Road'))
new building address (('5145', 'Maise Street') https://osm.org/?mlat=29.66538822906475&mlon=-90.10844951820104&zoom=16) does not match the old one ((None, 'Maise Street'))
new building address (('5579', 'Jean Lafitte Boulevard') https://osm.org/?mlat=29.666292978913905&mlon=-90.10884280310665&zoom=16) does not match the old one ((None, 'Jean Lafitte Boulevard'))
new building address (('5159', '4th Street') https://osm.org/?mlat=29.666441715618053&mlon=-90.10888834448235&zoom=16) does not match the old one ((None, '4th Street'))
new building address (('5602', 'Jean Lafitte Boulevard') https://osm.org/?mlat=29.66622176509693&mlon=-90.10946464969989&zoom=16) does not match the old one ((None, 'Jean Lafitte Boulevard'))
new building address (('5471', 'Jean Lafitte Boulevard') https://osm.org/?mlat=29.668344609203956&mlon=-90.10869327707752&zoom=16) does not match the old one ((None, 'Jean Lafitte Boulevard'))
new building address (('5485', 'Jean Lafitte Boulevard') https://osm.org/?mlat=29.6683706851329&mlon=-90.10908725153365&zoom=16) does not match the old one ((None, 'Jean Lafitte Boulevard'))
new building address (('5549', 'Jean Lafitte Boulevard') https://osm.org/?mlat=29.667180866844497&mlon=-90.10895699301194&zoom=16) does not match the old one ((None, 'Jean Lafitte Boulevard'))
new building address (('5555', 'Jean Lafitte Boulevard') https://osm.org/?mlat=29.667008688004874&mlon=-90.10876847648552&zoom=16) does not match the old one ((None, 'Jean Lafitte Boulevard'))
new building address (('5117', '2nd Street') https://osm.org/?mlat=29.668064006790317&mlon=-90.10979300172541&zoom=16) does not match the old one ((None, 'Jean Lafitte Boulevard'))
new building address (('5541', 'Jean Lafitte Boulevard') https://osm.org/?mlat=29.667408274878476&mlon=-90.10889006910166&zoom=16) does not match the old one ((None, 'Jean Lafitte Boulevard'))
new building address (('5510', 'Jean Lafitte Boulevard') https://osm.org/?mlat=29.66823695516891&mlon=-90.10949484242661&zoom=16) does not match the old one (('5510', '2nd Street'))
new building address (('5108', '2nd Street') https://osm.org/?mlat=29.668668739796598&mlon=-90.10938428051357&zoom=16) does not match the old one ((None, 'Jean Lafitte Boulevard'))
new building address (('5474', 'Jean Lafitte Boulevard') https://osm.org/?mlat=29.668652524026317&mlon=-90.10878896220984&zoom=16) does not match the old one ((None, 'Jean Lafitte Boulevard'))
